class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0x498a584b702fecef6b13041894762102013400985998985593eadef84b0ca478,1733506896743,HYPE,Buy,1016.98,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,14136.022,0
SPOT,0x76da97fa9e1307c1d4f60418946d5e01aa0065b57fba77ec254e699b9ea40db7,1733506754848,HYPE,order,1322.49,0x99967871e6c4f9a5185abc57edede9e9540191f6,limit,0,18382.611,-1
SPOT,0xa494387a1edd0375915f0418946b4301ac0028c01f64e73773214ea6b80501c7,1733506721147,HYPE,Buy,1295.87,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,903.2717399999999,0
SPOT,0x6cc5efb96b3ffb678e76041894649b01ab00971626a28bba311bf64c9d01ea4a,1733506612882,HYPE,order,1302.99,0x99967871e6c4f9a5185abc57edede9e9540191f6,limit,0,18382.58292,-1
SPOT,0xbe9b8c3d1cef9a5469fc04188d225102014b0025d2cec108750c1864bc7bd37e,1733476494015,HYPE,Buy,750.07,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,9563.3925,0
SPOT,0xef3ff3d1b2a4dfc0c65904188d223e02028100e6f47c3958b18a5ee807d848b8,1733476492937,HYPE,Buy,0.64,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,8.16,0
SPOT,0xd250f423a15e6d3d69a704188d21d3020114000b7b0dd6e5605a1f22d03fe04d,1733476486093,HYPE,Buy,10.44,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,133.10999999999999,0
SPOT,0xddf9c95bae9111fe761d04188a64f2018600b35ba316066e3ce4f0c44764283a,1733465046651,HYPE,Buy,930.29,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,12093.77,0
SPOT,0xbf65f8224ad9cf5c34ff0418885b1102011700fbda003dc835d99118e455bca5,1733456527682,HYPE,order,948.53,0x99967871e6c4f9a5185abc57edede9e9540191f6,limit,0,12093.7575,-1
SPOT,0x3febb1296af63131ca530418885a8d01f800c92b3bb25850dc2d652069dfa7c2,1733456518436,HYPE,order,930.29,0x99967871e6c4f9a5185abc57edede9e9540191f6,limit,0,12093.77,-1
SPOT,0x1ae94d09395e01b59f0b0418820fea02020100c9d7d9b3efa2d5f24d8481b1b7,1733430346827,HYPE,Buy,2652.15,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,29269.044,0
SPOT,0xcddc1f431e2770205ab90418820253020124000a89e94070860fd75b93864358,1733430126547,HYPE,Buy,1095.06,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,12642.4677,0
SPOT,0x0ffdbb98169148687ae2041881452701f7007cb2f1275a9fabe02ef762335e7d,1733427051560,HYPE,Buy,629.5200000000001,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,5497.63066,0
SPOT,0xee454a48d06221270cd504187fb3dd02010c00a1f73393482c5ae5b971af903e,1733420532412,HYPE,Buy,85.41,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,1084.19454,0
SPOT,0x07af6775d881960217a204187fb3da01b2007ba7d4416dc863ffb7cc3f51b87b,1733420532264,HYPE,Buy,264.5,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,3357.563,0
SPOT,0xaa2f48382fa3f829a6ce04187fb3d301530088adadcdbd2e733c1e66a6a1c569,1733420531800,HYPE,Buy,150,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,1904.1000000000001,0
SPOT,0xce1373c2b5d14eee792704187fb3ca01b6004dd85104d01a970b5c356a51f9b4,1733420531188,HYPE,Buy,150,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,1904.1000000000001,0
