wallet,time,action_type,from,to,token,amount,hash
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},26.39,0xf72c58b7fdda189537d5042710f4c901ba00904c4daf616b0917eb4ad8100362
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},26.39,0x6eea7628afba6532b841042710f4c901b900647ef7e58933ceac4fb9a035dfd9
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},26.39,0x5721d99feec9a1a706ab042710f4c901b800062fd3da8702b37fb174d903ebea
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,cancelByCloid,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,,0.0,0xe5612a99bb4bba2615b5042710f4c601e400f20d3ae5b15f2bb2b9190950d6f2
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},131.94,0xa41e4f820fbe52314094042710f4c0020170009bf4b7cfede3fed88dccaf05db
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},13.19,0x68dd9054ec9605ace446042710f4ab01e3003c25e54463e0cb9ee0cfe9fd15a9
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},52.79,0xc1525f99df8998666054042710f4ab01e2005949a23071a03c3d500b6d7da1c5
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},22.53,0x8a72a2f2b35f6c719443042710f4ab01e100dcca928a76b5784fc406b4ebde94
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},13.19,0xb965a4158f492cfae237042710f4ab01e00043342b01394a65241dcdfd55578b
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},25.0,0x77218ae8c9feeb4d8032042710f4ab01df001f07a41b1e69322c5eacd47d4795
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},5.28,0xfcdce87b1b8b0ae3b830042710f4ab01de002591577dc957bb3c489d5b82ecd0
